#HOUR;MINUTE;FORMAT
11;28;AM
4;50;PM
2;54;AM
2;51;AM
1;39;PM
12;13;PM
10;33;AM
11;30;AM
5;38;PM
5;07;PM
2;08;PM
1;05;AM
8;38;PM
5;10;PM
9;58;AM
7;47;PM
4;59;PM
8;33;PM
1;22;AM
10;23;AM
8;16;PM
3;27;PM
8;45;PM
10;55;AM
11;02;AM
1;00;PM
5;28;PM
10;49;PM
1;48;PM
7;09;AM
2;42;AM
12;51;AM
4;22;AM
5;08;AM
9;39;AM
1;47;PM
4;39;AM
1;48;PM
1;36;PM
10;58;AM
2;10;AM
4;17;AM
6;22;AM
2;43;AM
7;17;AM
1;35;PM
9;26;AM
11;53;AM
10;06;PM
5;45;PM
9;03;AM
11;31;AM
5;33;PM
11;46;AM
7;17;PM
11;27;PM
4;34;AM
6;00;AM
4;25;AM
3;12;PM
10;49;PM
7;10;PM
7;40;PM
4;40;PM
5;29;PM
6;12;PM
3;43;PM
9;44;PM
6;52;PM
9;52;PM
7;40;PM
8;05;PM
3;45;AM
4;02;PM
3;38;AM
3;46;AM
6;49;PM
10;25;AM
10;01;PM
7;42;AM
7;21;PM
1;42;AM
9;49;PM
1;55;PM
2;37;AM
11;45;AM
2;33;AM
2;30;PM
12;16;AM
9;42;PM
11;43;AM
7;35;PM
10;46;AM
9;10;AM
3;57;PM
9;35;PM
10;25;PM
9;26;AM
10;39;AM
12;24;AM
7;34;AM
4;00;PM
1;31;AM
7;34;AM
5;33;AM
7;19;PM
5;03;PM
4;17;AM
9;11;AM
5;31;PM
6;52;AM
8;32;AM
1;33;PM
3;53;PM
11;45;AM
8;26;AM
2;06;AM
11;18;PM
7;30;AM
2;11;AM
5;30;PM
2;49;PM
1;55;PM
2;38;PM
5;47;PM
3;37;PM
8;45;AM
5;12;AM
1;15;AM
7;37;AM
3;17;PM
8;29;AM
11;29;PM
6;37;AM
7;02;AM
4;02;AM
5;48;PM
3;23;PM
6;26;AM
5;29;PM
1;31;AM
10;36;PM
9;50;AM
12;11;PM
6;24;PM
7;58;AM
4;17;PM
6;33;AM
6;09;PM
2;34;PM
10;31;PM
1;48;PM
2;52;AM
5;36;AM
7;18;AM
1;18;PM
5;14;PM
5;07;PM
11;21;AM
4;03;AM
9;02;AM
12;57;AM
3;51;AM
6;20;PM
3;33;PM
2;08;PM
5;55;AM
10;56;AM
2;28;PM
3;36;PM
7;57;PM
9;24;PM
7;54;PM
5;22;PM
1;04;PM
7;16;AM
8;38;PM
11;48;PM
4;08;AM
8;45;AM
8;24;AM
2;49;AM
9;24;PM
8;43;AM
8;16;AM
10;11;AM
3;34;AM
7;51;AM
7;41;AM
1;01;PM
6;57;AM
3;15;PM
8;39;PM
7;55;AM
12;26;PM
5;33;AM
7;00;AM
1;37;AM
3;33;AM
4;00;PM
4;02;PM
11;24;PM
9;25;PM
1;46;AM
4;29;PM
12;56;PM
10;41;PM
1;12;AM
11;49;PM
9;37;PM
2;13;AM
1;55;AM
3;58;PM
3;52;AM
2;50;AM
1;34;AM
12;06;PM
9;29;PM
12;36;PM
1;49;AM
7;16;PM
3;53;PM
12;06;AM
6;59;AM
7;44;AM
7;24;AM
1;27;PM
10;48;AM
7;30;PM
6;02;AM
12;27;PM
10;07;AM
3;56;AM
3;25;PM
11;49;PM
6;40;AM
4;50;PM
6;57;PM
9;27;PM
12;52;PM
7;33;PM
1;08;PM
4;29;AM
2;22;PM
6;20;AM
4;57;PM
5;13;AM
12;20;AM
11;30;PM
4;08;AM
3;22;PM
7;23;PM
6;21;PM
6;18;AM
3;30;PM
3;40;AM
10;23;AM
1;00;AM
4;00;AM
7;07;PM
2;52;AM
8;51;AM
4;14;AM
3;50;PM
12;05;PM
5;11;AM
4;37;AM
10;23;PM
12;43;PM
8;36;PM
8;27;PM
8;36;AM
12;04;AM
1;58;PM
10;52;PM
1;13;AM
6;21;AM
3;29;AM
9;48;AM
8;07;AM
6;44;PM
6;02;PM
1;26;AM
9;45;AM
8;30;AM
11;52;PM
11;08;AM
1;46;AM
3;19;PM
7;36;AM
10;04;PM
1;54;PM
1;38;AM
11;45;AM
3;26;AM
11;41;AM
7;21;PM
8;53;AM
5;33;AM
1;07;PM
10;41;PM
5;01;PM
2;30;PM
3;24;AM
5;12;AM
12;28;PM
9;05;PM
3;58;AM
9;52;PM
12;04;AM
2;23;PM
3;38;AM
11;18;AM
11;42;AM
6;46;PM
1;52;PM
11;11;AM
6;07;PM
1;40;PM
4;30;PM
2;28;PM
7;41;PM
2;20;PM
1;36;PM
1;26;AM
12;38;AM
4;32;PM
4;55;AM
11;51;AM
6;19;AM
11;27;AM
5;10;AM
4;39;PM
1;56;AM
3;51;PM
3;14;PM
5;34;AM
6;26;AM
5;33;AM
6;39;AM
3;39;PM
9;50;PM
12;25;PM
6;03;PM
3;30;AM
6;03;PM
12;58;AM
5;57;PM
5;34;PM
11;09;PM
6;50;AM
4;13;AM
10;51;AM
12;21;AM
9;26;AM
9;41;PM
10;52;AM
12;39;AM
11;13;PM
12;45;PM
7;26;PM
2;29;AM
3;51;AM
12;08;PM
1;51;PM
3;04;AM
5;22;AM
5;11;PM
12;45;PM
10;09;AM
9;07;PM
8;22;AM
2;55;AM
6;42;AM
6;31;AM
9;45;AM
8;52;AM
12;04;AM
3;22;PM
7;14;PM
2;26;AM
1;06;AM
3;54;PM
1;13;PM
7;25;AM
8;52;PM
10;40;AM
1;46;AM
1;45;PM
10;05;AM
10;11;PM
5;14;PM
4;24;PM
4;16;PM
4;47;PM
11;26;AM
6;15;AM
7;36;AM
5;55;AM
5;15;PM
10;29;AM
12;57;PM
10;13;PM
11;55;AM
7;01;AM
10;13;PM
1;31;AM
3;31;PM
4;51;PM
7;01;PM
11;56;AM
10;31;AM
3;44;AM
12;41;AM
7;30;PM
4;40;AM
10;08;PM
12;14;PM
8;14;PM
4;49;AM
11;54;PM
9;17;PM
8;09;PM
3;58;AM
12;07;AM
8;46;PM
8;52;PM
11;15;AM
10;11;PM
1;35;AM
2;46;PM
9;07;AM
8;28;AM
2;29;PM
1;29;PM
1;49;AM
6;45;PM
9;21;AM
7;08;AM
2;13;AM
5;09;AM
11;13;AM
12;06;PM
1;13;PM
1;13;PM
3;00;PM
9;33;PM
8;31;PM
10;00;PM
1;07;AM
4;09;AM
4;40;AM
1;01;AM
1;13;PM
9;30;AM
5;46;PM
1;12;AM
8;20;PM
11;27;PM
9;12;AM
4;25;PM
3;18;AM
3;38;AM
3;18;PM
4;58;PM
9;09;PM
6;37;AM
5;16;AM
5;16;PM
8;21;PM
12;33;AM
4;38;PM
10;38;AM
4;06;AM
11;45;AM
3;44;PM
1;48;AM
7;33;AM
3;47;PM
5;34;PM
1;27;PM
5;30;AM
9;10;PM
2;58;PM
8;48;AM
1;43;PM
12;03;PM
11;43;AM
12;22;PM
8;18;AM
10;32;PM
2;23;PM
7;14;AM
11;15;PM
9;07;PM
10;14;AM
10;20;AM
8;47;AM
1;41;AM
4;58;AM
6;39;PM
1;12;AM
12;42;AM
9;58;AM
4;04;AM
4;32;PM
5;03;AM
12;15;PM
4;38;AM
4;04;AM
12;13;PM
11;50;AM
8;28;AM
5;47;PM
11;14;PM
12;21;PM
1;15;AM
11;21;PM
1;24;PM
10;08;PM
9;47;AM
12;42;PM
4;54;AM
10;27;AM
3;43;AM
11;31;PM
11;55;PM
11;11;PM
2;21;PM
2;08;AM
10;25;AM
12;15;PM
5;53;AM
12;16;AM
7;40;PM
3;34;AM
9;21;PM
5;13;PM
12;39;PM
5;48;PM
9;04;AM
8;07;AM
12;35;AM
1;23;AM
6;57;PM
3;54;AM
5;07;AM
7;16;PM
6;21;AM
12;45;PM
8;36;AM
10;19;AM
2;49;PM
9;14;PM
3;17;AM
7;12;PM
7;15;AM
7;09;AM
12;21;PM
1;31;PM
10;13;PM
8;39;AM
12;01;AM
3;26;PM
1;50;PM
9;20;AM
12;08;AM
11;24;AM
1;01;AM
8;56;PM
12;19;AM
6;56;AM
1;34;AM
4;26;PM
4;10;PM
12;00;PM
9;40;AM
6;10;PM
4;13;AM
5;17;AM
3;47;AM
8;52;PM
12;36;AM
2;57;AM
4;31;AM
3;24;PM
1;17;AM
5;30;AM
7;06;PM
3;09;AM
5;47;AM
10;28;AM
10;35;PM
10;51;PM
3;47;PM
10;55;AM
10;13;AM
6;25;PM
5;46;PM
1;28;PM
10;15;AM
8;13;PM
4;13;AM
6;55;AM
1;55;PM
1;17;PM
11;51;PM
11;48;AM
8;20;PM
5;22;PM
5;57;PM
3;38;PM
2;23;AM
6;10;AM
1;45;PM
4;36;PM
10;33;PM
2;27;AM
4;19;PM
10;00;PM
3;55;PM
5;37;AM
2;01;PM
7;18;AM
6;51;AM
12;51;AM
11;40;PM
4;51;PM
5;13;AM
8;54;AM
11;40;PM
1;12;PM
5;37;AM
8;26;AM
2;32;PM
8;21;PM
4;45;AM
6;10;AM
12;37;PM
9;29;AM
6;43;PM
8;21;AM
2;12;AM
5;46;AM
10;38;AM
9;46;AM
8;46;PM
3;10;PM
9;05;PM
7;51;PM
8;17;PM
4;35;AM
12;53;PM
10;10;PM
5;24;AM
8;27;PM
6;01;PM
2;19;AM
4;49;AM
9;03;AM
6;19;AM
3;01;PM
6;34;PM
5;42;AM
4;20;PM
7;55;AM
6;39;PM
8;34;PM
1;08;PM
4;31;PM
2;59;PM
10;06;AM
10;22;PM
5;13;PM
6;57;PM
6;57;AM
8;04;PM
2;12;AM
5;52;PM
10;41;AM
7;14;PM
12;30;AM
6;18;PM
2;05;AM
10;18;AM
10;19;PM
3;13;PM
4;32;AM
10;37;AM
1;20;AM
8;31;AM
12;41;PM
2;39;AM
2;46;PM
7;37;AM
9;08;PM
9;19;PM
5;43;AM
8;59;PM
4;06;PM
1;19;PM
4;23;PM
3;57;AM
1;13;PM
10;25;PM
11;11;AM
3;10;AM
9;27;AM
10;55;AM
11;25;PM
12;33;AM
9;27;PM
8;08;PM
3;36;PM
10;09;AM
5;27;AM
11;17;AM
9;13;AM
1;08;PM
3;05;AM
12;23;PM
6;53;PM
7;15;PM
2;26;AM
12;16;PM
6;45;AM
3;20;PM
4;27;AM
7;54;AM
4;29;AM
6;47;AM
1;31;PM
4;39;AM
2;09;AM
10;31;AM
10;11;PM
6;12;AM
10;09;PM
4;34;PM
10;54;PM
8;11;AM
5;59;PM
10;48;PM
6;29;AM
10;54;PM
4;21;PM
4;24;PM
9;07;PM
7;43;AM
4;19;AM
1;49;AM
12;36;AM
5;07;AM
2;33;PM
7;35;PM
11;07;AM
9;40;AM
5;28;AM
6;00;PM
4;29;AM
9;51;PM
2;52;AM
10;30;AM
9;58;AM
8;21;AM
6;59;AM
5;30;PM
6;08;AM
10;21;PM
3;23;AM
3;19;AM
3;32;AM
1;07;PM
2;27;AM
7;24;PM
6;43;AM
3;07;PM
2;20;PM
8;16;AM
4;08;PM
1;56;AM
11;56;AM
3;47;AM
10;34;PM
10;46;PM
12;13;PM
8;27;PM
4;44;PM
2;04;AM
5;29;PM
8;33;PM
6;44;AM
11;00;AM
4;07;AM
2;18;PM
2;26;AM
6;48;AM
9;06;PM
1;01;PM
3;21;PM
8;13;AM
10;26;AM
4;11;AM
11;14;AM
7;22;PM
2;13;AM
1;58;PM
10;13;PM
1;11;AM
12;19;PM
6;31;AM
5;45;PM
6;14;PM
1;40;AM
9;26;AM
5;39;PM
5;00;AM
11;04;AM
12;58;PM
4;42;PM
2;59;AM
11;44;PM
1;32;AM
9;36;PM
10;26;AM
8;35;AM
3;04;AM
4;31;PM
8;03;PM
12;30;AM
2;26;PM
1;44;PM
5;31;AM
7;07;PM
9;53;PM
3;50;PM
9;24;AM
4;25;PM
2;37;PM
10;39;AM
8;12;AM
11;19;AM
2;43;PM
11;45;AM
3;22;PM
4;03;PM
6;47;AM
4;43;PM
6;24;AM
5;37;AM
11;36;PM
3;38;AM
6;04;AM
12;30;AM
11;08;AM
2;00;AM
12;35;AM
5;13;PM
4;28;AM
4;33;AM
11;46;PM
10;36;PM
8;22;PM
12;49;AM
12;14;PM
1;46;PM
1;48;AM
8;10;PM
7;47;PM
5;27;PM
12;17;PM
3;51;AM
10;02;PM
6;51;AM
11;24;PM
3;24;PM
6;16;PM
12;16;PM
9;34;PM
4;44;AM
12;45;AM
11;01;PM
4;01;AM
2;41;AM
1;18;PM
3;22;AM
12;17;AM
7;54;PM
11;06;AM
5;49;PM
11;50;AM
8;56;PM
3;42;AM
8;55;AM
2;56;PM
10;00;AM
6;32;AM
11;08;PM
6;53;AM
7;18;AM
12;33;PM
9;55;AM
9;18;PM
2;59;AM
2;48;PM
5;45;PM
8;10;PM
6;37;AM
2;12;PM
5;05;PM
4;05;AM
11;14;AM
2;15;AM
7;24;PM
4;17;PM
10;57;PM
11;57;PM
12;37;PM
9;00;PM
8;31;AM
8;04;AM
5;27;PM
5;47;PM
3;19;AM
4;19;AM
2;22;AM
11;43;PM
10;03;AM
1;18;AM
4;20;PM
8;23;AM
1;21;PM
8;31;PM
8;48;AM
4;46;AM
11;49;PM
10;48;AM
1;59;AM
9;34;AM
1;40;PM
6;22;PM
9;44;AM
8;12;AM
11;58;AM
1;20;PM
7;59;PM
6;54;PM
8;14;AM
3;51;AM
4;32;PM
11;03;AM
9;06;AM
5;12;AM
3;29;AM
8;00;AM
11;28;PM
7;01;AM
2;00;PM
11;32;AM
5;14;PM
9;57;PM
7;46;PM
5;53;PM
10;24;PM
1;29;PM
1;24;AM
6;40;AM
5;54;PM
6;38;AM
7;54;PM
7;27;AM
1;16;AM
2;43;AM
11;24;AM
9;01;PM
9;20;AM
3;55;PM
6;22;AM
5;40;AM
12;18;PM
4;08;AM
5;19;PM
10;07;PM
5;14;PM
11;34;PM
4;36;AM
11;34;PM
12;48;AM
4;39;PM
2;45;AM
8;38;PM
6;20;PM
9;07;PM
2;56;AM
7;39;AM
11;08;AM
8;25;PM
3;10;PM
1;59;AM
1;53;PM
